"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"X100m",-0.818952060614786,0.342778722477402,0.100864539270909,0.101342001079552,-0.219806141871783
"Long.jump",0.75889854284819,-0.381493126630263,-0.00626125411946174,-0.185424149020254,0.263714105922363
"Shot.put",0.715078294945536,0.282116702472777,0.473854590820137,0.0361040407921442,-0.278636982412469
"High.jump",0.608493255533546,0.611354231471432,0.00460596649045562,0.0712435303462659,0.300586646084251
"X400m",-0.643848152375053,0.148422492570689,0.515759381621035,0.269785286777139,0.199238655018231
"X110m.hurdle",-0.716420272457672,0.297551868403658,0.416451017100836,-0.159780860793997,0.161020825812865
"Discus",0.716888115682766,0.204397931547492,0.270322201891412,0.397623056632136,-0.339492315395287
"Pole.vault",-0.221417308860478,-0.737547861476421,0.403083623011555,-0.251549462860381,-0.262592668350322
"Javeline",0.355175659554122,0.0985309045666024,0.695433665750078,-0.485559003147339,0.133422294397533
"X1500m",0.0697122273150624,-0.568119698583965,0.352757754551322,0.652461355561058,0.253678376325153
